Country,Country Code,percentage
Cambodia,KHM,31.2014147627244
Kiribati,KIR,35.539979455661296
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,12.9733235784635
Kuwait,KWT,21.5388880509858
Latin America & Caribbean (excluding high income),LAC,24.7649039681473
Lao PDR,LAO,32.6039186819471
Lebanon,LBN,26.095867165213104
Liberia,LBR,41.124986589466296
Libya,LBY,28.319237727779303
St. Lucia,LCA,18.5288830000715
Latin America & Caribbean,LCN,24.5536012826226
Least developed countries: UN classification,LDC,39.4333624818523
Low income,LIC,41.889102108131
Liechtenstein,LIE,
Sri Lanka,LKA,24.1970010216799
Lower middle income,LMC,30.179735190303603
Low & middle income,LMY,27.552593477566198
Lesotho,LSO,32.7163515354347
Late-demographic dividend,LTE,19.0157536118667
Lithuania,LTU,14.882424505508899
Luxembourg,LUX,15.8788239869589
Latvia,LVA,15.9957769389964
"Macao SAR, China",MAC,13.654066582652
St. Martin (French part),MAF,
Morocco,MAR,27.206380132855397
Monaco,MCO,
Moldova,MDA,15.8600908600909
Madagascar,MDG,40.6681505928286
Maldives,MDV,20.147916602029103
Middle East & North Africa,MEA,29.8862621557125
Mexico,MEX,26.556848190852104
Marshall Islands,MHL,
Middle income,MIC,25.77099448535
North Macedonia,MKD,16.516999630813302
Mali,MLI,47.5434863934943
Malta,MLT,14.2769005208902
Myanmar,MMR,26.3710482845116
Middle East & North Africa (excluding high income),MNA,31.1110443058753
Montenegro,MNE,18.2095191371898
Mongolia,MNG,30.409568307017604
Northern Mariana Islands,MNP,
Mozambique,MOZ,44.6708001531326
Mauritania,MRT,40.083182821661794
Mauritius,MUS,17.793692318012
Malawi,MWI,43.9022859066284
Malaysia,MYS,23.9951410860297
North America,NAC,18.4202023019982
Namibia,NAM,36.910249189131605
New Caledonia,NCL,22.7409256659988
Niger,NER,49.984324609445295
Nigeria,NGA,43.8666399781742
Nicaragua,NIC,30.201681199956496
Netherlands,NLD,16.108158709837802
Norway,NOR,17.5490383783174
Nepal,NPL,30.414265321749802
Nauru,NRU,
New Zealand,NZL,19.653431456984897
OECD members,OED,17.8269264177606
Oman,OMN,22.246505985228602
Other small states,OSS,29.9392347322767
Pakistan,PAK,35.2698145995487
Panama,PAN,27.062304324124103
Peru,PER,25.790602846080198
Philippines,PHL,30.9630402017999
Palau,PLW,
Papua New Guinea,PNG,35.8159344007888
Poland,POL,15.052276813694998
Pre-demographic dividend,PRE,43.7518511029062
Puerto Rico,PRI,16.8360861114438
"Korea, Dem. People’s Rep.",PRK,20.2021135043815
Portugal,PRT,13.457907822132402
Paraguay,PRY,29.4405055961229
West Bank and Gaza,PSE,38.9473612779327
Pacific island small states,PSS,35.0365547703939
Post-demographic dividend,PST,16.0912386216832
French Polynesia,PYF,22.7618941295525
Qatar,QAT,13.5407641851225
Romania,ROU,15.534554960562598
Russian Federation,RUS,17.9140805801319
Rwanda,RWA,39.9755730179801
South Asia,SAS,28.416347603944203
Saudi Arabia,SAU,25.0428481279098
Sudan,SDN,40.5087918665567
Senegal,SEN,43.0554303706314
Singapore,SGP,12.278282636262698
Solomon Islands,SLB,40.2415842979397
Sierra Leone,SLE,41.0596393534767
El Salvador,SLV,27.1320809139623
San Marino,SMR,
Somalia,SOM,46.5765840679638
Serbia,SRB,15.6896807521828
Sub-Saharan Africa (excluding high income),SSA,42.540108734842704
South Sudan,SSD,41.8201214348455
Sub-Saharan Africa,SSF,42.5384123153354
Small states,SST,29.119897083062803
Sao Tome and Principe,STP,42.5199499592471
Suriname,SUR,27.170263372628003
Slovak Republic,SVK,15.446136760331099
Slovenia,SVN,15.0217750478021
Sweden,SWE,17.581785459921402
Eswatini,SWZ,38.112491540384795
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,23.635371179039304
Syrian Arab Republic,SYR,31.421540806855898
Turks and Caicos Islands,TCA,
Chad,TCD,47.126299988842
East Asia & Pacific (IDA & IBRD countries),TEA,20.5024995139321
Europe & Central Asia (IDA & IBRD countries),TEC,20.4843891459536
Togo,TGO,41.334523499723
Thailand,THA,17.0869888171064
Tajikistan,TJK,36.7842840794279
Turkmenistan,TKM,30.8223639401863
Latin America & the Caribbean (IDA & IBRD countries),TLA,24.752257717346396
Timor-Leste,TLS,37.7806642722958
Middle East & North Africa (IDA & IBRD countries),TMN,31.016404603789102
Tonga,TON,35.4157582100255
South Asia (IDA & IBRD),TSA,28.416347603944203
Sub-Saharan Africa (IDA & IBRD countries),TSS,42.5384123153354
Trinidad and Tobago,TTO,20.419572570427
Tunisia,TUN,24.1701203463736
Turkey,TUR,24.6494101390807
Tuvalu,TUV,
Tanzania,TZA,44.0982381505459
Uganda,UGA,46.93052518198629
Ukraine,UKR,15.8124131732483
Upper middle income,UMC,20.7486467400202
Uruguay,URY,20.6079810743386
US,USA,18.709039982465104
Uzbekistan,UZB,28.6860574147675
St. Vincent and the Grenadines,VCT,22.541307129052502
"Venezuela, RB",VEN,27.6666505810652
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,19.7134123041651
Vietnam,VNM,23.172676831701196
Vanuatu,VUT,38.848230148968206
World,WLD,25.795376244024897
Samoa,WSM,38.320697092219895
Kosovo,XKX,
"Yemen, Rep.",YEM,39.61489027405229
South Africa,ZAF,29.0794891477129
Zambia,ZMB,44.9361411568244
Zimbabwe,ZWE,42.4010662380439
