Country,Country Code,percentage
Guinea,GIN,53.2238042069734
"Gambia, The",GMB,53.141274000107
Guinea-Bissau,GNB,54.837131456333395
Equatorial Guinea,GNQ,60.425523787696505
Greece,GRC,64.2734830567542
Grenada,GRD,66.8168033448777
Greenland,GRL,
Guatemala,GTM,60.7525320983504
Guam,GUM,65.68638096616961
Guyana,GUY,65.335183554427
High income,HIC,65.5444893771665
"Hong Kong SAR, China",HKG,71.2240545977674
Honduras,HND,63.5685008076122
Heavily indebted poor countries (HIPC),HPC,54.115530890509504
Croatia,HRV,65.0426269817306
Haiti,HTI,61.808351893676395
Hungary,HUN,66.4302824033255
IBRD only,IBD,67.93499434230061
IDA & IBRD total,IBT,65.2922575171917
IDA total,IDA,57.59400531792
IDA blend,IDB,57.7572014724765
Indonesia,IDN,67.59163708200789
IDA only,IDX,57.5102192911601
Isle of Man,IMN,
India,IND,66.7667424975064
Not classified,INX,
Ireland,IRL,64.7277787116415
Iran,IRN,69.3388675341431
Iraq,IRQ,58.289834936097606
Iceland,ISL,65.37258733699029
Israel,ISR,60.097767516043604
Italy,ITA,63.9192043068525
Jamaica,JAM,67.45326076623421
Jordan,JOR,61.90801939285829
Japan,JPN,59.72678128062451
Kazakhstan,KAZ,64.1476039511304
Kenya,KEN,57.878646454015296
Kyrgyz Republic,KGZ,63.1548549102717
Cambodia,KHM,64.2299052197099
Kiribati,KIR,60.507393372292796
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,72.60812058913959
Kuwait,KWT,75.91063956501229
Latin America & Caribbean (excluding high income),LAC,66.9923932114571
Lao PDR,LAO,63.32093135360479
Lebanon,LBN,66.901764700394
Liberia,LBR,55.6215816108536
Libya,LBY,67.28872201323671
St. Lucia,LCA,71.6645866435024
Latin America & Caribbean,LCN,67.0080926456052
Least developed countries: UN classification,LDC,57.026388412230304
Low income,LIC,54.81972623889789
Liechtenstein,LIE,
Sri Lanka,LKA,65.32977922453611
Lower middle income,LMC,64.290849336516
Low & middle income,LMY,65.2907552918608
Lesotho,LSO,62.3825609677432
Late-demographic dividend,LTE,70.2609934017877
Lithuania,LTU,65.4125423380302
Luxembourg,LUX,69.9380218288939
Latvia,LVA,63.960602740322706
"Macao SAR, China",MAC,75.8617304903457
St. Martin (French part),MAF,
Morocco,MAR,65.7807150460324
Monaco,MCO,
Moldova,MDA,72.67035279855791
Madagascar,MDG,56.3451322813798
Maldives,MDV,76.14873879184641
Middle East & North Africa,MEA,64.9315764883162
Mexico,MEX,66.2194668282759
Marshall Islands,MHL,
Middle income,MIC,66.5919908498999
North Macedonia,MKD,69.8128189876219
Mali,MLI,49.9492838489489
Malta,MLT,65.3737751793975
Myanmar,MMR,67.8443097829163
Middle East & North Africa (excluding high income),MNA,63.5135193190367
Montenegro,MNE,66.81554421806631
Mongolia,MNG,65.50689290572
Northern Mariana Islands,MNP,
Mozambique,MOZ,52.4384353894175
Mauritania,MRT,56.77570502028811
Mauritius,MUS,70.7321346133359
Malawi,MWI,53.45227916306129
Malaysia,MYS,69.3331042884915
North America,NAC,65.627220334532
Namibia,NAM,59.453719130123304
New Caledonia,NCL,68.0849164086245
Niger,NER,47.42066750785621
Nigeria,NGA,53.38598301649839
Nicaragua,NIC,64.5508213516632
Netherlands,NLD,64.69564865682351
Norway,NOR,65.4017394653615
Nepal,NPL,63.8580639025582
Nauru,NRU,
New Zealand,NZL,64.694144015841
OECD members,OED,65.0544551715178
Oman,OMN,75.3607070585134
Other small states,OSS,64.5682994847169
Pakistan,PAK,60.417411089113706
Panama,PAN,64.8329645962083
Peru,PER,66.12100436208901
Philippines,PHL,63.9143910299006
Palau,PLW,
Papua New Guinea,PNG,60.738796347755006
Poland,POL,67.42990642375979
Pre-demographic dividend,PRE,53.4943352593295
Puerto Rico,PRI,64.4890636781993
"Korea, Dem. People’s Rep.",PRK,70.4633660858305
Portugal,PRT,64.58823464028029
Paraguay,PRY,64.1292793944163
West Bank and Gaza,PSE,57.9193329849872
Pacific island small states,PSS,60.42612785297071
Post-demographic dividend,PST,64.9542444109945
French Polynesia,PYF,68.9475977657655
Qatar,QAT,85.08916547614
Romania,ROU,66.1267436456077
Russian Federation,RUS,67.4112110994962
Rwanda,RWA,57.086230904481106
South Asia,SAS,65.7430919142796
Saudi Arabia,SAU,71.6430638491404
Sudan,SDN,55.9100476051919
Senegal,SEN,53.8577459283503
Singapore,SGP,76.2583371703582
Solomon Islands,SLB,56.1594652427714
Sierra Leone,SLE,55.97380443520721
El Salvador,SLV,64.5808290812314
San Marino,SMR,
Somalia,SOM,50.550104989090606
Serbia,SRB,65.964526556121
Sub-Saharan Africa (excluding high income),SSA,54.4725990912016
South Sudan,SSD,54.7813956853029
Sub-Saharan Africa,SSF,54.47388207811971
Small states,SST,64.8505334681972
Sao Tome and Principe,STP,54.554371931686795
Suriname,SUR,65.9233667251168
Slovak Republic,SVK,68.9246167348919
Slovenia,SVN,65.37134529801911
Sweden,SWE,62.322689612278296
Eswatini,SWZ,57.8729205187801
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,68.7700832166104
Syrian Arab Republic,SYR,64.07533477166821
Turks and Caicos Islands,TCA,
Chad,TCD,50.393181066809
East Asia & Pacific (IDA & IBRD countries),TEA,69.9992529215217
Europe & Central Asia (IDA & IBRD countries),TEC,66.9400119353542
Togo,TGO,55.79600848918879
Thailand,THA,71.0121180433042
Tajikistan,TJK,60.1938283684959
Turkmenistan,TKM,64.7510015978736
Latin America & the Caribbean (IDA & IBRD countries),TLA,66.9915330457314
Timor-Leste,TLS,57.90284343369821
Middle East & North Africa (IDA & IBRD countries),TMN,63.581080665771104
Tonga,TON,58.630580346327896
South Asia (IDA & IBRD),TSA,65.7430919142796
Sub-Saharan Africa (IDA & IBRD countries),TSS,54.47388207811971
Trinidad and Tobago,TTO,68.84547391324061
Tunisia,TUN,67.5142005746377
Turkey,TUR,66.8673769209477
Tuvalu,TUV,
Tanzania,TZA,53.3004626710946
Uganda,UGA,51.1284878975505
Ukraine,UKR,67.7529003875501
Upper middle income,UMC,69.2134044609211
Uruguay,URY,64.5774993948021
US,USA,65.4833059619314
Uzbekistan,UZB,66.8948047070961
St. Vincent and the Grenadines,VCT,67.8689060075673
"Venezuela, RB",VEN,65.0663627988088
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,60.998280473825
Vietnam,VNM,69.5523448704195
Vanuatu,VUT,57.5116167828345
World,WLD,65.3311815119975
Samoa,WSM,56.8788909340281
Kosovo,XKX,
"Yemen, Rep.",YEM,57.5088399699032
South Africa,ZAF,65.6025058468641
Zambia,ZMB,52.9641808172429
Zimbabwe,ZWE,54.659410108955
